strategy_id,primary_id,Edgar_Class,CSC.Sector,CSC.Subsector,value,Year,Gas,design_id,future_id,strategy,Code,Contry,source,value_original,value_hp
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.314431266,2024,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.314431266,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.317947032,2025,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.317947032,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.321375926,2026,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.321375926,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.324754968,2027,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.324754968,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.327941277,2028,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.327941277,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.33105297,2029,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.33105297,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.334112428,2030,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.334112428,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.337112922,2031,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.337112922,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.340067633,2032,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.340067633,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.342981108,2033,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.342981108,NA
